area,id,locacao,price,venda
45,30640,,150000,
330,30639,,550000,
250,30638,,3000,
279,30637,,1200000,
70,30636,,230000,
70,30635,,350000,
177,30634,,470000,
540,30633,,230000,
28.5,30632,,175000,
18.5,30631,,150000,
18.5,30630,,150000,
196,30629,,780000,
48,30628,,330000,
186,30627,,890000,
491,30626,,300000,
330,30625,,240000,
240,30624,,150000,
186,30623,,260000,
1133,30622,,1250000,
15,30621,,900,
407,30620,,300000,
305,30619,,200000,
60,30618,,1500,
87,30617,,1800,
18.5,30616,,150000,
18.5,30615,,150000,
487,30614,,2650000,
330,30613,,1850000,
155,30612,,750000,
192,30611,,950000,
194,30610,,950000,
206,30609,,944000,
235,30607,,1350000,
350.3899999999999863575794734060764312744140625,30606,,220000,
780,30605,,18000,
135,30604,,3200,
123,30603,,3000,
78,30602,1200,,250000
54,30601,,900,
300,30600,,1650000,
105,30598,,1400,
371,30597,,190000,
371,30596,,190000,
371,30595,,190000,
88,30593,,2000,
28.050000000000000710542735760100185871124267578125,30592,,175000,
208,30591,,970000,
106,30590,,561000,
2000,30589,,2600000,
46,30588,,160000,
82,30587,,220000,
218,30586,,570000,
185.19999999999998863131622783839702606201171875,30585,,280000,
194,30584,4000,,830000
59,30583,,550,
76,30582,,360000,
90,30581,2500,,600000
123,30580,,2200,
3295.239999999999781721271574497222900390625,30578,,450000,
198,30577,,955000,
481,30576,,2600000,
22.550000000000000710542735760100185871124267578125,30575,,800,
160,30574,,670000,
16059.079999999999927240423858165740966796875,30573,,8000000,
31,30571,,550,
31,30570,,550,
305,30569,,1700000,
180,30568,,325000,
190,30567,,320000,
78,30566,,265000,
37,30565,,140000,
55,30564,,230000,
78,30563,2100,,450000
877,30562,,395000,
157.240000000000009094947017729282379150390625,30561,,535000,
62,30560,,215000,
327,30559,,2800,
60,30558,,195000,
43,30557,,175000,
43,30556,,175000,
169.580000000000012505552149377763271331787109375,30555,,790000,
168,30554,,385000,
56,30553,,700,
46,30552,,181000,
95,30551,,1500,
125,30550,,480000,
215,30549,3500,,750000
55,30548,,850,
75,30547,,200000,
56,30546,,160000,
143,30545,,585000,
64,30544,,285000,
123,30543,900,,230000
1000,30542,,200000,
137,30541,,230000,
560,30540,,1800000,
283,30539,4500,,1200000
66,30538,1500,,375000
103,30537,,3900,
55,30536,,225000,
44,30535,,171000,
62,30534,,190000,
51,30533,1000,,220000
75,30532,,320000,
30,30531,,800,
45,30530,,220000,
103,30529,,240000,
320,30528,,1300000,
460,30527,,130000,
,30526,,1000000,
300,30525,,2100000,
300,30524,,1000000,
5125,30523,,530000,
5390,30522,,550000,
107,30520,,130000,
258,30519,1800,,550000
49,30517,900,,180000
228,30516,,390000,
81,30514,,430000,
67,30513,,280000,
277,30512,2700,,700000
270,30511,,6900,
327,30510,4000,,900000
78,30509,,100000,
525,30507,,160000,
100,30506,,500000,
66,30505,1000,,270000
178,30504,,270000,
53,30502,,110000,
228,30501,,439000,
100,30500,,135000,
172,30499,,310000,
36,30497,,165000,
239,30496,,650000,
148,30495,,710000,
260,30494,,170000,
256,30493,,200000,
320,30492,,980000,
180,30491,,460000,
122,30490,1300,,280000
180,30489,,270000,
54,30488,,200000,
259,30487,,600000,
,30486,3400,,480000
283,30485,,185000,
32,30484,,120000,
383,30483,4000,,800000
245,30482,,850000,
66,30481,,450000,
82,30480,,1300,
359,30479,,225000,
134,30478,,380000,
67,30477,,325000,
302,30472,,1200000,
180,30471,,3500,
481,30470,,275000,
36,30469,,800,
395,30468,,2100000,
130,30467,,250000,
111,30466,,600000,
